Seed,Total Nodes,Neighbor %,Bizantine %,Protocol,Time,Infected Nodes,Total Messages
70,100,0.05,0.2,AntiEntropy,8.026,100.0,1023
420,100,0.05,0.2,AntiEntropy,8.026,100.0,766
42,100,0.05,0.3,AntiEntropy,7.524,100.0,764
70,100,0.05,0.3,AntiEntropy,7.023,100.0,770
420,100,0.05,0.3,AntiEntropy,7.525,100.0,906
42,100,0.05,0.4,AntiEntropy,6.019,100.0,685
70,100,0.05,0.4,AntiEntropy,8.528,100.0,936
420,100,0.05,0.4,AntiEntropy,8.527,100.0,997
42,100,0.1,0.1,AntiEntropy,6.521,100.0,700
70,100,0.1,0.1,AntiEntropy,9.03,100.0,1210
420,100,0.1,0.1,AntiEntropy,6.521,100.0,694
42,100,0.1,0.2,AntiEntropy,6.019,100.0,749
70,100,0.1,0.2,AntiEntropy,5.518,100.0,500
420,100,0.1,0.2,AntiEntropy,8.026,100.0,938
42,100,0.1,0.3,AntiEntropy,10.534,100.0,1549
70,100,0.1,0.3,AntiEntropy,8.026,100.0,967
420,100,0.1,0.3,AntiEntropy,5.518,100.0,543
42,100,0.1,0.4,AntiEntropy,6.019,100.0,679
70,100,0.1,0.4,AntiEntropy,7.023,100.0,736
420,100,0.1,0.4,AntiEntropy,6.521,100.0,800
42,100,0.15,0.1,AntiEntropy,5.016,100.0,461
70,100,0.15,0.1,AntiEntropy,4.515,100.0,451
420,100,0.15,0.1,AntiEntropy,6.02,100.0,657
42,100,0.15,0.2,AntiEntropy,7.525,100.0,924
70,100,0.15,0.2,AntiEntropy,5.519,100.0,611
420,100,0.15,0.2,AntiEntropy,5.518,100.0,614
42,100,0.15,0.3,AntiEntropy,5.518,100.0,504
70,100,0.15,0.3,AntiEntropy,7.525,100.0,999
420,100,0.15,0.3,AntiEntropy,7.023,100.0,775
42,100,0.15,0.4,AntiEntropy,6.522,100.0,810
70,100,0.15,0.4,AntiEntropy,6.02,100.0,620
420,100,0.15,0.4,AntiEntropy,6.522,100.0,709
42,150,0.05,0.1,AntiEntropy,6.02,100.0,909
70,150,0.05,0.1,AntiEntropy,8.529,100.0,1426
420,150,0.05,0.1,AntiEntropy,6.522,100.0,1060
42,150,0.05,0.2,AntiEntropy,7.526,100.0,1150
70,150,0.05,0.2,AntiEntropy,7.525,100.0,1278
420,150,0.05,0.2,AntiEntropy,11.54,100.0,2472
42,150,0.05,0.3,AntiEntropy,6.522,100.0,980
70,150,0.05,0.3,AntiEntropy,7.526,100.0,1250
420,150,0.05,0.3,AntiEntropy,6.523,100.0,1009
42,150,0.05,0.4,AntiEntropy,9.533,100.0,1908
70,150,0.05,0.4,AntiEntropy,9.033,100.0,1647
420,150,0.05,0.4,AntiEntropy,7.526,100.0,1289
42,150,0.1,0.1,AntiEntropy,8.027,100.0,1522
70,150,0.1,0.1,AntiEntropy,6.522,100.0,1034
420,150,0.1,0.1,AntiEntropy,5.017,100.0,782
42,150,0.1,0.2,AntiEntropy,6.522,100.0,1095
70,150,0.1,0.2,AntiEntropy,9.03,100.0,1752
420,150,0.1,0.2,AntiEntropy,5.519,100.0,856
42,150,0.1,0.3,AntiEntropy,7.525,100.0,1414
70,150,0.1,0.3,AntiEntropy,6.523,100.0,1105
420,150,0.1,0.3,AntiEntropy,8.029,100.0,1535
42,150,0.1,0.4,AntiEntropy,5.518,100.0,833
70,150,0.1,0.4,AntiEntropy,5.519,100.0,884
420,150,0.1,0.4,AntiEntropy,7.526,100.0,1399
42,150,0.15,0.1,AntiEntropy,5.519,100.0,825
70,150,0.15,0.1,AntiEntropy,6.522,100.0,1069
420,150,0.15,0.1,AntiEntropy,5.017,100.0,782
42,150,0.15,0.2,AntiEntropy,8.529,100.0,1702
70,150,0.15,0.2,AntiEntropy,7.025,100.0,1229
420,150,0.15,0.2,AntiEntropy,5.018,100.0,781
42,150,0.15,0.3,AntiEntropy,6.02,100.0,1029
70,150,0.15,0.3,AntiEntropy,5.519,100.0,816
420,150,0.15,0.3,AntiEntropy,4.515,100.0,625
42,150,0.15,0.4,AntiEntropy,5.519,100.0,861
70,150,0.15,0.4,AntiEntropy,5.519,100.0,848
420,150,0.15,0.4,AntiEntropy,5.017,100.0,776
